test,vulkan_pvmm,vulkan_chains_union,vulkan_chains_new,vulkan_pvmm_new,vulkan_pvmm_new1,vulkan_pvmm_new2,vulkan_pvmm_new3,vulkan_pvmm_new4
3-f-graph-problem-semsc-lb-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-d-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-fence-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-fence-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
3-problem-race-asmo-a,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
3-problem-race-asmo-b,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
3-problem-race-asmo-c,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
3-problem-race-asmo-alt-a,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
3-problem-race-asmo-alt-b,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
3-problem-race-asmo-alt-c,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
,,,,,,,,
3-new-race-wrr-1a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-1b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-1c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-1d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-2a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-2b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-wrw-1a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-1b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-1c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-1d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-2a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-wwr-a,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
3-new-race-wwr-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-wwr-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
3-new-race-wwr-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-www-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-www-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-www-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4.1.2-fix-semsc-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-rw-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-rw-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-r-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-r-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-w-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-w-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-semsc-mp3,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-fail,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-semsc-mp3-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-fence-all,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-sc,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-sc-fail,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-semsc-mp3-sc-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-sc-fence-all,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-r-w,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-wr-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-wr-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-w-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-wr-w-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-wr-w-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-rw-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-rw-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-w-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-rw-w-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-rw-w-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-w-wr-po-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-po-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-po-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-w-wr-po-d,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-w-wr-po-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-w-wr-inscope-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-inscope-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-inscope-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-w-wr-inscope-d,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-w-wr-inscope-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
4-ssw-sync-w-wr-notinscope-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,
4-ssw-av-ithb-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-av-ithb-nok,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
4-ssw-vis-ithb-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-vis-ithb-nok,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
4-ssw-both-ithb-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-both-ithb-nok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-barrier-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-f,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-sb,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-barrier-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-barrier-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-barrier-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-sb-barrier-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-sb-barrier-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-sb-barrier-f,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-barrier-overwrite-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overwrite-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-overwrite-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overwrite-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overread-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overread-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-overread-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overread-d,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-avvis-mp-bad-fence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-acqrel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-avvis,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-avvis-acqrel,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-scope,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-scope,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-good-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-avvis-mp-good-fence-scope-avvis,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-avvis-mp-good-scope-avvis,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-locord-rr-cycle,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-locord-rr-visibility,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,
extra-mp3-fence-order-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
extra-mp3-fence-order-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
extra-mp3-fence-order-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,
extra-mp3-barrier,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
extra-mp3-barrier-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-asmo-base-rx-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-asmo-base-rx-b,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
x-asmo-base-rx-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-asmo-pairs-rx-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-asmo-pairs-rx-b,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
x-asmo-pairs-rx-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-asmo-base-acqrel-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-asmo-base-acqrel-b,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
x-asmo-base-acqrel-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-asmo-pairs-acqrel-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-asmo-pairs-acqrel-b,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
x-asmo-pairs-acqrel-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-aslocord1-base-rx-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-aslocord1-base-rx-b,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
x-aslocord1-base-rx-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-aslocord1-pairs-rx-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-aslocord1-pairs-rx-b,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
x-aslocord1-pairs-rx-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-aslocord1-base-acqrel-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-aslocord1-base-acqrel-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-aslocord1-base-acqrel-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-aslocord1-pairs-acqrel-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-aslocord1-pairs-acqrel-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-aslocord1-pairs-acqrel-c,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-observation-atom-a,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
x-observation-atom-b,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
x-observation-atom-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-atom-d,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-observation-nonpriv-a,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
x-observation-nonpriv-b,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
x-observation-nonpriv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-nonpriv-d,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-observation-priv-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-observation-priv-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-observation-priv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-priv-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS
,,,,,,,,
x-observation-sync-atom-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-atom-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-atom-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-atom-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-observation-sync-nonpriv-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-nonpriv-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-nonpriv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-nonpriv-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
x-observation-sync-priv-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-observation-sync-priv-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-observation-sync-priv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-observation-sync-priv-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS
,,,,,,,,
x-asym-mp-rel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-asym-mp-acq,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-asym-mp3-rel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-asym-mp3-acq,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
